date,available,total,average_price
2023-01-10,f,19234,253.6053
2022-11-12,f,18166,253.5802
2023-01-19,f,19218,253.4649
2022-09-10,f,18261,253.4244
2022-11-18,f,18157,253.4010
2023-01-29,f,19183,253.3434
2022-10-22,f,18196,253.2906
2023-01-11,f,19231,253.2660
2022-10-21,f,18216,253.2285
2022-09-30,f,18268,253.1634
2023-01-16,f,19216,253.0938
2022-09-09,f,18282,253.0543
2022-03-11,f,18262,253.0051
2023-01-15,f,19213,252.9966
2023-01-18,f,19217,252.9815
2022-08-26,f,14867,252.8756
2022-08-04,f,15554,252.8361
2023-01-30,f,19185,252.8103
2023-01-17,f,19216,252.6694
2022-08-27,f,14839,252.6635
2022-12-18,f,19236,252.6037
2022-10-29,f,18134,252.5599
2023-02-01,f,19172,252.5155
2022-06-17,f,16198,252.4831
2023-01-23,f,19206,252.4665
2022-12-19,f,19238,252.4633
2023-01-25,f,19205,252.4405
2023-01-31,f,19179,252.4183
2022-10-28,f,18123,252.3460
2023-01-24,f,19210,252.3454
2022-06-18,f,16154,252.0404
2022-06-10,f,16692,251.9805
2022-05-21,f,14384,251.7649
2022-06-25,f,16201,251.6789
2022-06-24,f,16191,251.0770
2022-12-15,f,19230,251.0345
2022-03-08,f,16477,250.8389
2022-05-20,f,14352,250.8028
2022-12-11,f,19224,250.5841
2022-07-03,f,16668,250.2477
2022-11-24,f,18260,250.1570
2022-12-04,f,19257,250.0680
2022-12-14,f,19229,250.0585
2022-09-04,f,18322,249.9978
2022-12-13,f,19225,249.8256
2022-12-08,f,19237,249.7885
2022-12-12,f,19226,249.7595
2022-04-15,f,18053,249.6669
2022-07-28,f,15919,249.4463
2022-12-07,f,19238,249.1956
2022-12-05,f,19221,249.0972
2022-12-06,f,19227,249.0695
2022-07-31,f,15559,249.0356
2022-07-24,f,15933,248.9692
2022-08-03,f,15511,248.9340
2022-07-21,f,15987,248.8166
2022-04-22,f,17114,248.7888
2022-08-07,f,15337,248.7840
2022-11-23,f,18246,248.7428
2022-04-16,f,17788,248.6226
2022-08-01,f,15501,248.6218
2022-04-30,f,16075,248.2219
2022-10-09,f,18227,248.1720
2022-04-09,f,19152,248.1670
2022-05-07,f,14754,248.0524
2022-04-23,f,16845,248.0475
2022-08-02,f,15484,248.0120
2022-05-29,f,13856,247.8537
2022-08-11,f,15236,247.5875
2022-04-29,f,16380,247.2268
2022-07-04,f,16418,247.1297
2022-07-27,f,15830,246.8271
2022-05-06,f,14824,246.6691
2022-07-17,f,16008,246.6532
2022-08-14,f,15052,246.5615
2022-04-08,f,19098,246.5506
2022-07-14,f,16108,246.5312
2022-08-21,f,14830,246.4815
2022-08-08,f,15261,246.4444
2022-11-03,f,18225,246.3330
2022-08-18,f,15008,246.2343
2022-07-10,f,16082,246.2236
2022-07-25,f,15846,246.2009
2022-10-06,f,18229,246.1094
2022-11-20,f,18178,246.0778
2022-07-20,f,15940,246.0621
2022-10-16,f,18216,246.0592
2022-11-22,f,18198,245.9968
2022-08-10,f,15216,245.9523
2022-11-21,f,18188,245.9417
2022-08-09,f,15228,245.9414
2022-10-13,f,18242,245.9018
2022-09-05,f,18233,245.8910
2022-07-26,f,15805,245.7601
2022-10-20,f,18205,245.6995
2022-11-06,f,18171,245.6443
2022-11-10,f,18172,245.5494
2022-07-07,f,16127,245.4902
2022-06-04,f,13018,245.4108
2022-08-15,f,14993,245.4027
2022-09-18,f,18251,245.3498
2022-09-25,f,18166,245.3275
2022-08-16,f,14982,245.3267
2022-11-27,f,18182,245.3248
2022-11-13,f,18143,245.1717
2022-08-25,f,14786,245.0956
2022-09-22,f,18216,245.0634
2022-10-05,f,18209,245.0368
2022-06-03,f,13046,245.0344
2022-09-15,f,18267,245.0000
2022-11-02,f,18228,244.9827
2022-10-03,f,18189,244.8612
2022-10-10,f,18197,244.8101
2022-10-23,f,18161,244.7531
2022-08-22,f,14785,244.7127
2022-10-02,f,18213,244.6392
2022-09-01,f,14438,244.5663
2022-07-19,f,15934,244.5567
2022-10-27,f,18118,244.5067
2022-10-17,f,18170,244.4959
2022-09-29,f,18238,244.4662
2022-10-04,f,18193,244.4461
2022-10-12,f,18204,244.4340
